From Type,From Name,Edge,To Type,To Name,Weight
Precedents,Hunter Point Library,relates to,Sub-Aspects,Operation: Subtract,8
Precedents,Hunter Point Library,is designed by,Architect,Steven Holl Architects,8
Precedents,Hunter Point Library,has Style,Style,Modern,6
Precedents,Hunter Point Library,is built using,Materials,Concrete,13
Precedents,Hunter Point Library,is designed/built in,Year,2019,12
Precedents,Hunter Point Library,is located in,Location,United States,10
Precedents,Hunter Point Library,serves as a ,Programme,Library,13
Precedents,Hunter Point Library,has Attribute,Attribute,intimate reading spaces,13
Precedents,Hunter Point Library,has Attribute,Attribute,active gathering spaces,6
Precedents,Hunter Point Library,has Attribute,Attribute,social spaces,6
Precedents,Hunter Point Library,has Attribute,Attribute,mezzanine,10
Precedents,Hunter Point Library,has Attribute,Attribute,compact plan,6
Precedents,Hunter Point Library,has Attribute,Attribute,natural light,7
Precedents,Hunter Point Library,has Attribute,Attribute,sculpted cuts,7
Precedents,Hunter Point Library,has Principle,Principle,programmatic divisions,12
Precedents,Heydar Aliyev Centre,serves as a,Programme,Cultural center,5
Precedents,Heydar Aliyev Centre,relates to,Sub-Aspects,Operation: Curve,5
Precedents,Heydar Aliyev Centre,relates to,Sub-Aspects,Structure: Space Frame,10
Precedents,Heydar Aliyev Centre,is designed by,Architect,Zaha Hadid Architects,10
Precedents,Heydar Aliyev Centre,has Style,Style,Contemporary,13
Precedents,Heydar Aliyev Centre,is built using,Materials,Wood,12
Precedents,Heydar Aliyev Centre,is built using,Materials,Concrete,13
Precedents,Heydar Aliyev Centre,is built using,Materials,Glass Fiber Reinforced Polyester,5
Precedents,Heydar Aliyev Centre,is designed/built in,Year,2013,12
Precedents,Heydar Aliyev Centre,is located in,Location,Azerbaijan,6
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,column-free spaces,7
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,aspiring,15
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,undulating,13
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,folds,15
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,inflections,7
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,blurring,6
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,concrete structure,12
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,free-form structure,13
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,motion,6
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,topography,11
Precedents,Heydar Aliyev Centre,has Principle,Principle,continuous ,9
Precedents,Heydar Aliyev Centre,has Principle,Principle,fluid,7
Precedents,Heydar Aliyev Centre,has Principle,Principle,interior fluidity,13
Precedents,Heydar Aliyev Centre,has Principle,Principle,unconventional and structural solutions,12
Precedents,Heydar Aliyev Centre,has Principle,Principle,plasticity,7
Precedents,Heydar Aliyev Centre,has Principle,Principle,motion,9
Precedents,Hotel de Beauvais,serves as a,Programme,Townhouse,15
Precedents,Hotel de Beauvais,serves as a,Programme,Residence,12
Precedents,Hotel de Beauvais,relates to,Sub-Aspects,Ordering Principle: Symmetry,5
Precedents,Hotel de Beauvais,is designed by,Architect,Antoine le Pautre,15
Precedents,Hotel de Beauvais,has Style,Style,French Baroque,15
Precedents,Hotel de Beauvais,is built using,Materials,Stone,8
Precedents,Hotel de Beauvais,is designed/built in,Year,1656,13
Precedents,Hotel de Beauvais,is located in,Location,France,8
Precedents,Hotel de Beauvais,has Attribute,Attribute,courtyard,8
Precedents,Hotel de Beauvais,has Attribute,Attribute,free plan,10
Precedents,Hotel de Beauvais,has Attribute,Attribute,baroque,13
Precedents,Hotel de Beauvais,has Attribute,Attribute,french baroque,5
Precedents,Hotel de Beauvais,has Attribute,Attribute,stone,14
Precedents,Hotel de Beauvais,has Attribute,Attribute,site response,12
Precedents,Hotel de Beauvais,has Attribute,Attribute,asymmetrical site,6
Precedents,Hotel de Beauvais,has Principle,Principle,symmetry,5
Precedents,Hotel de Beauvais,has Principle,Principle,free plan,12
Precedents,Hotel de Beauvais,has Principle,Principle,adaptive resuse,14
Precedents,Gamble House,serves as a,Programme,Residence,12
Precedents,Gamble House,relates to,Sub-Aspects,Spatial Organisation: Clustered,8
Precedents,Gamble House,has Style,Style,American Craftsmen,14
Precedents,Gamble House,is designed by,Architect,Greene and Greene,10
Precedents,Gamble House,is built using,Materials,Wood,9
Precedents,Gamble House,is designed/built in ,Year,1909,7
Precedents,Gamble House,is located in,Location,United States,15
Precedents,Gamble House,has Attribute,Attribute,transition space,6
Precedents,Gamble House,has Attribute,Attribute,detail,6
Precedents,Gamble House,has Attribute,Attribute,craftsmenship,15
Precedents,Gamble House,has Attribute,Attribute,Japanese,5
Precedents,Gamble House,has Attribute,Attribute,horizontal,8
Precedents,Gamble House,has Attribute,Attribute,modular,12
Precedents,Gamble House,has Attribute,Attribute,asymmetrical,9
Precedents,Gamble House,has Principle,Principle,American Craftsmen,12
Precedents,Friedman House,serves as a,Programme,Residence,13
Precedents,Friedman House,relates to,Sub-Aspects,Spatial Organisation: Clustered,8
Precedents,Friedman House,has Style,Style,Usonian,13
Precedents,Friedman House,is designed by,Architect,Frank Lloyd Wright,12
Precedents,Friedman House,is built using,Materials,Concrete,12
Precedents,Friedman House,is built using,Materials,Wood,5
Precedents,Friedman House,is built using,Materials,Brick,14
Precedents,Friedman House,is designed/built in,Year,1948,13
Precedents,Friedman House,is located in ,Location,United States,6
Precedents,Friedman House,has Attribute,Attribute,contours,9
Precedents,Friedman House,has Attribute,Attribute,circular,11
Precedents,Friedman House,has Principle,Principle,Broadacre City,10
Precedents,Freitag Tower,relates to,Sub-Aspects,Operation: Modulate,6
Precedents,Freitag Tower,serves as a,Programme,Observation Deck,7
Precedents,Freitag Tower,has Style,Style,Cargotecture,14
Precedents,Freitag Tower,is designed by,Architect,Spillmann Echsle Architekten,8
Precedents,Freitag Tower,is built using,Materials,Steel,12
Precedents,Freitag Tower,has Attribute,Attribute,cargo containers,8
Precedents,Freitag Tower,has Attribute,Attribute,landmark,6
Precedents,Freitag Tower,has Attribute,Attribute,daylight,9
Precedents,Freitag Tower,has Principle,Principle,stack,12
Precedents,Freitag Tower,is designed/built in,Year,2006,11
Precedents,Freitag Tower,is located in,Location,Switerland,12
Precedents,Denver Airport,is built using,Materials,PTFE,14
Precedents,Denver Airport,is built using,Materials,Steel,10
Precedents,Denver Airport,serves as a,Programme,Airport,15
Precedents,Denver Airport,has Style,Style,Parametric,8
Precedents,Denver Airport,is designed/built in ,Year,1995,13
Precedents,Denver Airport,is located in ,Location,United States,11
Precedents,Denver Airport,is designed by,Architect,Curtis Fentress,12
Precedents,Denver Airport,has Attribute,Attribute,fabric roof,9
Precedents,Denver Airport,has Attribute,Attribute,canopy,6
Precedents,Denver Airport,has Attribute,Attribute,clerestory window,13
Precedents,Denver Airport,has Attribute,Attribute,curtain-wall,8
Precedents,Denver Airport,has Attribute,Attribute,iconic,10
Precedents,Chee Tong Temple,serves as a,Programme,Place of Worship,13
Precedents,Chee Tong Temple,is built using,Materials,Glass,10
Precedents,Chee Tong Temple,relates to,Sub-Aspects,Site: Climate,15
Precedents,Chee Tong Temple,has Style,Style,Vernacular,13
Precedents,Chee Tong Temple,is designed by,Architect,Tay Kheng Soon,14
Precedents,Chee Tong Temple,is designed/built in,Year,1987,5
Precedents,Chee Tong Temple,is located in ,Location,Singapore,15
Precedents,Chee Tong Temple,has Attribute,Attribute,enclosure,5
Precedents,Chee Tong Temple,has Attribute,Attribute,transitionary space,6
Precedents,Chee Tong Temple,has Principle,Principle,Interpenetration,9
Precedents,Capitol Complex,serves as a,Programme,Civic Building,10
Precedents,Capitol Complex,has Style,Style,Modern,14
Precedents,Capitol Complex,has Attribute,Attribute,edifice,8
Precedents,Capitol Complex,has Attribute,Attribute,ramp,6
Precedents,Capitol Complex,has Attribute,Attribute,recesses,13
Precedents,Capitol Complex,has Attribute,Attribute,modular facade,10
Precedents,Capitol Complex,has Attribute,Attribute,cross ventilation,12
Precedents,Capitol Complex,has Attribute,Attribute,natural light,15
Precedents,Capitol Complex,has Attribute,Attribute,multi-level interior spaces,5
Precedents,Capitol Complex,has Attribute,Attribute,punctured,11
Precedents,Capitol Complex,has Attribute,Attribute,long and narrow,15
Precedents,Capitol Complex,has Attribute,Attribute,projections,9
Precedents,Capitol Complex,has Attribute,Attribute,interlocking squares,12
Precedents,Capitol Complex,has Principle,Principle,unify,9
Precedents,Capitol Complex,has Principle,Principle,organizational efficiency,15
Precedents,Capitol Complex,has Principle,Principle,anthropomorphic plan,12
Precedents,Capitol Complex,is designed/built in ,Year,1962,7
Precedents,Capitol Complex,is located in ,Location,India,11
Precedents,Capitol Complex,relates to,Sub-Aspects,Structure: Columns,7
Precedents,Capitol Complex,relates to,Sub-Aspects,Ordering Principle: Repetition,11
Precedents,Capitol Complex,is built using,Materials,Concrete,14
Precedents,Capitol Complex,is designed by,Architect,Le Corbusier,13
Precedents,Ark Nova,serves as a,Programme,Concert Hall / Theatre,15
Precedents,Ark Nova,relates to,Sub-Aspects,Operation: Inflate,10
Precedents,Ark Nova,is built using,Materials,Plastic,11
Precedents,Ark Nova,is designed by,Architect,Arata Isozaki,6
Precedents,Ark Nova,has Style,Style,Contemporary,9
Precedents,Ark Nova,has Principle,Principle,Levithan,13
Precedents,Ark Nova,has Attribute,Attribute,mobile,13
Precedents,Ark Nova,has Attribute,Attribute,orb,8
Precedents,Ark Nova,has Attribute,Attribute,inflatable,15
Precedents,Ark Nova,has Attribute,Attribute,sculptural,8
Precedents,Ark Nova,has Attribute,Attribute,membrane,11
Precedents,Ark Nova,has Attribute,Attribute,teamed,13
Precedents,Ark Nova,is designed/built in ,Year,2013,5
Precedents,Ark Nova,is located in,Location,Japan,15
Precedents,Baker House,serves as a,Programme,Dormitory,9
Precedents,Baker House,has Style,Style,Modern,7
Precedents,Baker House,has Attribute,Attribute,single-loaded,14
Precedents,Baker House,has Attribute,Attribute,parallel,6
Precedents,Baker House,has Attribute,Attribute,sinuous,6
Precedents,Baker House,has Attribute,Attribute,undulating,6
Precedents,Baker House,has Attribute,Attribute,static,7
Precedents,Baker House,has Attribute,Attribute,movement,12
Precedents,Baker House,has Attribute,Attribute,modular,11
Precedents,Baker House,has Principle,Principle,rectilinear,9
Precedents,Baker House,is designed by,Architect,Alvar Aalto,10
Precedents,Baker House,is built using,Materials,Brick,5
Precedents,Baker House,relates to,Sub-Aspects,Spatial Organisation: Linear,13
Precedents,Baker House,relates to,Sub-Aspects,Spatial Organisation: Orthogonal Plan,8
Precedents,Baker House,is designed/built in ,Year,1948,5
Precedents,Baker House,is located in,Location,United States,5
Precedents,Castelvecchio Museum,serves as a,Programme,Museum,6
Precedents,Castelvecchio Museum,is built using,Materials,Concrete,8
Precedents,Castelvecchio Museum,is built using,Materials,Wood,13
Precedents,Castelvecchio Museum,is built using,Materials,Brick,12
Precedents,Castelvecchio Museum,is designed by,Architect,Carlo Scarpa,5
Precedents,Castelvecchio Museum,has Style,Style,Renaissance,10
Precedents,Castelvecchio Museum,relates to,Sub-Aspects,Site: Heritage,9
Precedents,Castelvecchio Museum,is designed/built in ,Year,1973,5
Precedents,Castelvecchio Museum,is located in ,Location,Italy,11
Precedents,Castelvecchio Museum,has Principle,Principle,restoration,10
Precedents,Bilbao Guggenheim Museum,serves as a,Programme,Museum,7
Precedents,Bilbao Guggenheim Museum,is built using,Materials,Titanium,6
Precedents,Bilbao Guggenheim Museum,is built using,Materials,Limestone,15
Precedents,Bilbao Guggenheim Museum,is built using,Materials,Glass,13
Precedents,Bilbao Guggenheim Museum,has Style,Style,Deconstructivism,14
Precedents,Bilbao Guggenheim Museum,is designed by,Architect,Frank Gehry,12
Precedents,Bilbao Guggenheim Museum,relates to,Sub-Aspects,Operation: Crumple,7
Precedents,Bilbao Guggenheim Museum,relates to,Sub-Aspects,Spatial Organisation: Orthogonal Plan,8
Precedents,Bilbao Guggenheim Museum,relates to,Sub-Aspects,Spatial Organisation: Grid,12
Precedents,Bilbao Guggenheim Museum,relates to,Sub-Aspects,Circulation: Ramp,5
Precedents,Bilbao Guggenheim Museum,is designed/built in ,Year,1997,15
Precedents,Bilbao Guggenheim Museum,is located in,Location,Spain,11
Precedents,Bilbao Guggenheim Museum,has Attribute,Attribute,atrium,10
Precedents,Bilbao Guggenheim Museum,has Attribute,Attribute,metallic,13
Precedents,Bilbao Guggenheim Museum,has Attribute,Attribute,curves,11
Precedents,Bilbao Guggenheim Museum,has Attribute,Attribute,transfomation,9
Precedents,Bilbao Guggenheim Museum,has Attribute,Attribute,"""Bilbao Effect""",10
Precedents,Bilbao Guggenheim Museum,has Principle,Principle,industrial,5
Precedents,Bilbao Guggenheim Museum,has Principle,Principle,mathematical,12
Precedents,Chapel on Mt. Rokko,serves as a,Programme,Place of Worship,13
Precedents,Chapel on Mt. Rokko,has Style,Style,Contemporary,6
Precedents,Chapel on Mt. Rokko,is designed by,Architect,Tadao Ando,6
Precedents,Chapel on Mt. Rokko,relates to,Sub-Aspects,Circulation: Linear,6
Precedents,Chapel on Mt. Rokko,is built using,Materials,Concrete,11
Precedents,Chapel on Mt. Rokko,is designed/built in ,Year,1986,12
Precedents,Chapel on Mt. Rokko,is located in ,Location,Japan,10
Precedents,Chapel on Mt. Rokko,has Attribute,Attribute,natural light,9
Precedents,Chapel on Mt. Rokko,has Attribute,Attribute,light and shadow,10
Precedents,Chapel on Mt. Rokko,has Attribute,Attribute,porch,13
Precedents,Chapel on Mt. Rokko,has Attribute,Attribute,vertical counterpoint,5
Precedents,Chapel on Mt. Rokko,has Attribute,Attribute,simple geometry,7
Precedents,Chapel on Mt. Rokko,has Principle,Principle,spatial sequence,10
Precedents,Säynätsalo Town Hall,serves as a,Programme,Civic Building,15
Precedents,Säynätsalo Town Hall,is built using,Materials,Brick,14
Precedents,Säynätsalo Town Hall,is built using,Materials,Wood,14
Precedents,Säynätsalo Town Hall,is designed by,Architect,Alvar Aalto,14
Precedents,Säynätsalo Town Hall,relates to,Sub-Aspects,Ordering Principle: Hierachy,7
Precedents,Säynätsalo Town Hall,has Style,Style,Modern,11
Precedents,Säynätsalo Town Hall,has Style,Style,Classic,9
Precedents,Säynätsalo Town Hall,is designed/built in,Year,1949,7
Precedents,Säynätsalo Town Hall,is located in,Location,Finland,8
Precedents,Säynätsalo Town Hall,has Attribute,Attribute,courtyard,7
Precedents,Säynätsalo Town Hall,has Attribute,Attribute,open circulatory space,10
Precedents,Säynätsalo Town Hall,has Attribute,Attribute,public plaza,13
Precedents,Säynätsalo Town Hall,has Attribute,Attribute,clerestory windows,13
Precedents,Säynätsalo Town Hall,has Attribute,Attribute,monumental,8
Precedents,Säynätsalo Town Hall,has Principle,Principle,study in opposition,13
Precedents,Säynätsalo Town Hall,has Principle,Principle,contrast,11
Precedents,Darwin D. Martin House and Estate,serves as a,Programme,Residence,10
Precedents,Darwin D. Martin House and Estate,is designed by,Architect,Frank Lloyd Wright,8
Precedents,Darwin D. Martin House and Estate,has Style,Style,Priairie,7
Precedents,Darwin D. Martin House and Estate,is built using,Materials,Brick,14
Precedents,Darwin D. Martin House and Estate,is built using,Materials,Wood,11
Precedents,Darwin D. Martin House and Estate,relates to,Sub-Aspects,Ordering Principle: Axis,7
Precedents,Darwin D. Martin House and Estate,is designed/built in ,Year,1905,14
Precedents,Darwin D. Martin House and Estate,is located in ,Location,United States,11
Precedents,Darwin D. Martin House and Estate,has Attribute,Attribute,art glass,6
Precedents,Darwin D. Martin House and Estate,has Attribute,Attribute,composition,5
Precedents,Biomuseo,serves as a,Programme,Museum,10
Precedents,Biomuseo,is built using,Materials,Steel,6
Precedents,Biomuseo,is built using,Materials,Concrete,14
Precedents,Biomuseo,is designed by,Architect,Frank Gehry,8
Precedents,Biomuseo,has Style,Style,Contemporary,11
Precedents,Biomuseo,relates to,Sub-Aspects,Operation: Fold,11
Precedents,Biomuseo,is designed/built in ,Year,2014,14
Precedents,Biomuseo,is located in,Location,Panama,10
Precedents,Biomuseo,has Attribute,Attribute,atrium,9
Precedents,Biomuseo,has Attribute,Attribute,canopy,14
Precedents,Falling Water,serves as a,Programme,Residence,14
Precedents,Falling Water,has Style,Style,Modern,7
Precedents,Falling Water,relates to,Sub-Aspects,Site: Topography,15
Precedents,Falling Water,has Attribute,Attribute,sculptural,15
Precedents,Falling Water,has Attribute,Attribute,waterfall,8
Precedents,Falling Water,has Attribute,Attribute,narrow passageways,5
Precedents,Falling Water,has Attribute,Attribute,cantilevered terraces,10
Precedents,Falling Water,has Attribute,Attribute,corner window detail,15
Precedents,Falling Water,has Attribute,Attribute,nature,11
Precedents,Falling Water,has Principle,Principle,integration,7
Precedents,Falling Water,has Principle,Principle,compression and expansion,7
Precedents,Falling Water,has Principle,Principle,harmony,14
Precedents,Falling Water,is designed/built in,Year,1939,10
Precedents,Falling Water,is located in ,Location,United States,6
Precedents,Falling Water,is built using,Materials,Concrete,6
Precedents,Falling Water,is built using,Materials,Brick,13
Precedents,Falling Water,is designed by,Architect,Frank Lloyd Wright,8
Precedents,Investcorp Building,is designed by,Architect,Zaha Hadid Architects,6
Precedents,Investcorp Building,is designed/built in,Year,2015,13
Precedents,Investcorp Building,is located in,Location,England,11
Precedents,Investcorp Building,has Style,Style,Deconstructivism,12
Precedents,Investcorp Building,serves as a ,Programme,Education Facility,12
Precedents,Investcorp Building,serves as a ,Programme,Library,5
Precedents,Investcorp Building,is built using,Material,Steel,10
Precedents,Investcorp Building,has Attribute,Attribute,expansion,9
Precedents,Investcorp Building,has Attribute,Attribute,site response,11
Precedents,Investcorp Building,has Principle,Principle,connectivity,15
Precedents,Investcorp Building,relates to,Sub-Aspects,Structure: Steel Frame,13
Precedents,Jewel Changi Airport,is designed by,Architect,Safdie Architects,15
Precedents,Jewel Changi Airport,is designed/built in,Year,2019,10
Precedents,Jewel Changi Airport,is located in,Location,Singapore,14
Precedents,Jewel Changi Airport,has Style,Style,Neo-futurism,5
Precedents,Jewel Changi Airport,serves as a ,Programme,Airport,8
Precedents,Jewel Changi Airport,serves as a ,Programme,Retail,14
Precedents,Jewel Changi Airport,is built using,Material,Glass,13
Precedents,Jewel Changi Airport,has Attribute,Attribute,marketplace,8
Precedents,Jewel Changi Airport,has Attribute,Attribute,pedestrian bridges,5
Precedents,Jewel Changi Airport,has Attribute,Attribute,visual connections,9
Precedents,Jewel Changi Airport,has Attribute,Attribute,terraced indoor garden,6
Precedents,Jewel Changi Airport,has Attribute,Attribute,spatial and interactive experiences,11
Precedents,Jewel Changi Airport,has Attribute,Attribute,indoor waterfall,14
Precedents,Jewel Changi Airport,has Attribute,Attribute,oculus,9
Precedents,Jewel Changi Airport,has Attribute,Attribute,domed roof,5
Precedents,Jewel Changi Airport,has Attribute,Attribute,vertical canyons,13
Precedents,Jewel Changi Airport,has Attribute,Attribute,column-free spaces,8
Precedents,Jewel Changi Airport,has Attribute,Attribute,glazing,8
Precedents,Jewel Changi Airport,has Attribute,Attribute,suspended catenary glass-bottom bridge walk,6
Precedents,Jewel Changi Airport,has Attribute,Attribute,"event plaza0.8676495661182175
",5
Precedents,Jewel Changi Airport,has Attribute,Attribute,connector,12
Precedents,Jewel Changi Airport,has Attribute,Attribute,leisure,7
Precedents,Jewel Changi Airport,has Attribute,Attribute,nature,14
Precedents,Jewel Changi Airport,has Attribute,Attribute,Displacement Ventilation System,12
Precedents,Jewel Changi Airport,has Principle,Principle,cardinal axes,8
Precedents,Jewel Changi Airport,has Principle,Principle,evaporative cooling,6
Precedents,Jewel Changi Airport,has Principle,Principle,static shading,9
Precedents,Jewel Changi Airport,has Principle,Principle,dynamic shading,10
Precedents,Jewel Changi Airport,relates to,Sub-Aspects,Structure: Grid-shell,10
Precedents,Katsura Imperial Villa,is designed by,Architect,Edward Suzuki Associates,8
Precedents,Katsura Imperial Villa,is designed/built in,Year,2010,15
Precedents,Katsura Imperial Villa,is located in,Location,Japan,15
Precedents,Katsura Imperial Villa,has Style,Style,"Zen buddhist, Shoin-zukuri",14
Precedents,Katsura Imperial Villa,serves as a ,Programme,Residence,9
Precedents,Katsura Imperial Villa,is built using,Material,Wood,11
Precedents,Katsura Imperial Villa,is built using,Material,Glass,14
Precedents,Katsura Imperial Villa,is built using,Material,Steel,15
Precedents,Katsura Imperial Villa,has Attribute,Attribute,garden,14
Precedents,Katsura Imperial Villa,has Attribute,Attribute,tea house,10
Precedents,Katsura Imperial Villa,has Attribute,Attribute,raised floors,10
Precedents,Katsura Imperial Villa,has Attribute,Attribute,cultural treasure,14
Precedents,Katsura Imperial Villa,has Principle,Principle,zen buddism,14
Precedents,Katsura Imperial Villa,relates to,Sub-Aspects,Ordering Principle: Repetition,11
Precedents,Kaufmann House,is designed by,Architect,Richard Neutra,10
Precedents,Kaufmann House,is designed/built in,Year,1947,12
Precedents,Kaufmann House,is located in,Location,United States,12
Precedents,Kaufmann House,has Style,Style,Modern,6
Precedents,Kaufmann House,serves as a ,Programme,International,5
Precedents,Kaufmann House,is built using,Material,Wood,6
Precedents,Kaufmann House,is built using,Material,Stone,10
Precedents,Kaufmann House,is built using,Material,Concrete,15
Precedents,Kaufmann House,is built using,Material,Glass,14
Precedents,Kaufmann House,is built using,Material,Steel,8
Precedents,Kaufmann House,has Attribute,Attribute,swimming pool,8
Precedents,Kaufmann House,has Attribute,Attribute,pinwheel,6
Precedents,Kaufmann House,has Attribute,Attribute,20th Century,5
Precedents,Kaufmann House,has Attribute,Attribute,family,7
Precedents,Kaufmann House,has Principle,Principle,cardinal axes,9
Precedents,Kaufmann House,has Principle,Principle,balance,9
Precedents,Kaufmann House,relates to,Sub-Aspects,Site: Topography,12
Precedents,Kaufmann House,relates to,Sub-Aspects,Spatial Organisations: Radial,11
Precedents,Koshino House,is designed by,Architect,Tadao Ando Architect & Associates,13
Precedents,Koshino House,is designed/built in,Year,1984,5
Precedents,Koshino House,is located in,Location,Japan,14
Precedents,Koshino House,has Style,Style,Contemporary,9
Precedents,Koshino House,serves as a ,Programme,Residence,9
Precedents,Koshino House,is built using,Material,Concrete,13
Precedents,Koshino House,has Attribute,Attribute,park,7
Precedents,Koshino House,has Attribute,Attribute,light and shadow,12
Precedents,Koshino House,has Attribute,Attribute,concrete,10
Precedents,Koshino House,has Attribute,Attribute,landscape,10
Precedents,Koshino House,has Attribute,Attribute,ecosystem,12
Precedents,Koshino House,has Attribute,Attribute,light,10
Precedents,Koshino House,has Attribute,Attribute,light ornament,12
Precedents,Koshino House,has Principle,Principle,parallel,9
Precedents,Koshino House,has Principle,Principle,addition,9
Precedents,Koshino House,relates to,Sub-Aspects,Ordering Principle: Datum,5
Precedents,Palace of Assembly (Legislative Assembly Building),is designed by,Architect,Le Corbusier,6
Precedents,Palace of Assembly (Legislative Assembly Building),is designed/built in,Year,1962,15
Precedents,Palace of Assembly (Legislative Assembly Building),is located in,Location,India,9
Precedents,Palace of Assembly (Legislative Assembly Building),has Style,Style,Modern,8
Precedents,Palace of Assembly (Legislative Assembly Building),serves as a ,Programme,Civic Building,5
Precedents,Palace of Assembly (Legislative Assembly Building),is built using,Material,Concrete,7
Precedents,Palace of Assembly (Legislative Assembly Building),has Attribute,Attribute,open-plan,15
Precedents,Palace of Assembly (Legislative Assembly Building),has Attribute,Attribute,free facade,9
