From Type,source,Edge,To Type,target,Weight
Precedents,Hunter Point Library,relates to,Sub-Aspects,Operation: Subtract,
Precedents,Hunter Point Library,is designed by,Architect,Steven Holl Architects,
Precedents,Hunter Point Library,has Style,Style,Modern,
Precedents,Hunter Point Library,is built using,Materials,Concrete,
Precedents,Hunter Point Library,is designed/built in,Year,2019,
Precedents,Hunter Point Library,is located in,Location,United States,
Precedents,Hunter Point Library,serves as a ,Programme,Library,
Precedents,Hunter Point Library,has Attribute,Attribute,intimate reading spaces,
Precedents,Hunter Point Library,has Attribute,Attribute,active gathering spaces,
Precedents,Hunter Point Library,has Attribute,Attribute,social spaces,
Precedents,Hunter Point Library,has Attribute,Attribute,mezzanine,
Precedents,Hunter Point Library,has Attribute,Attribute,compact plan,
Precedents,Hunter Point Library,has Attribute,Attribute,natural light,
Precedents,Hunter Point Library,has Attribute,Attribute,sculpted cuts,
Precedents,Hunter Point Library,has Principle,Principle,programmatic divisions,
Precedents,Heydar Aliyev Centre,serves as a,Programme,Cultural center,
Precedents,Heydar Aliyev Centre,relates to,Sub-Aspects,Operation: Curve,
Precedents,Heydar Aliyev Centre,relates to,Sub-Aspects,Structure: Space Frame,
Precedents,Heydar Aliyev Centre,is designed by,Architect,Zaha Hadid Architects,
Precedents,Heydar Aliyev Centre,has Style,Style,Contemporary,
Precedents,Heydar Aliyev Centre,is built using,Materials,Wood,
Precedents,Heydar Aliyev Centre,is built using,Materials,Concrete,
Precedents,Heydar Aliyev Centre,is built using,Materials,Glass Fiber Reinforced Polyester,
Precedents,Heydar Aliyev Centre,is designed/built in,Year,2013,
Precedents,Heydar Aliyev Centre,is located in,Location,Azerbaijan,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,column-free spaces,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,aspiring,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,undulating,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,folds,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,inflections,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,blurring,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,concrete structure,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,free-form structure,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,motion,
Precedents,Heydar Aliyev Centre,has Attribute,Attribute,topography,
Precedents,Heydar Aliyev Centre,has Principle,Principle,continuous ,
Precedents,Heydar Aliyev Centre,has Principle,Principle,fluid,
Precedents,Heydar Aliyev Centre,has Principle,Principle,interior fluidity,
Precedents,Heydar Aliyev Centre,has Principle,Principle,unconventional and structural solutions,
Precedents,Heydar Aliyev Centre,has Principle,Principle,plasticity,
Precedents,Heydar Aliyev Centre,has Principle,Principle,motion,
Precedents,Hotel de Beauvais,serves as a,Programme,Townhouse,
Precedents,Hotel de Beauvais,serves as a,Programme,Residence,
Precedents,Hotel de Beauvais,relates to,Sub-Aspects,Ordering Principle: Symmetry,
Precedents,Hotel de Beauvais,is designed by,Architect,Antoine le Pautre,
Precedents,Hotel de Beauvais,has Style,Style,French Baroque,
Precedents,Hotel de Beauvais,is built using,Materials,Stone,
Precedents,Hotel de Beauvais,is designed/built in,Year,1656,
Precedents,Hotel de Beauvais,is located in,Location,France,
Precedents,Hotel de Beauvais,has Attribute,Attribute,courtyard,
Precedents,Hotel de Beauvais,has Attribute,Attribute,free plan,
Precedents,Hotel de Beauvais,has Attribute,Attribute,baroque,
Precedents,Hotel de Beauvais,has Attribute,Attribute,french baroque,
Precedents,Hotel de Beauvais,has Attribute,Attribute,stone,
Precedents,Hotel de Beauvais,has Attribute,Attribute,site response,
Precedents,Hotel de Beauvais,has Attribute,Attribute,asymmetrical site,
Precedents,Hotel de Beauvais,has Principle,Principle,symmetry,
Precedents,Hotel de Beauvais,has Principle,Principle,free plan,
Precedents,Hotel de Beauvais,has Principle,Principle,adaptive resuse,
Precedents,Gamble House,serves as a,Programme,Residence,
Precedents,Gamble House,relates to,Sub-Aspects,Spatial Organisation: Clustered,
Precedents,Gamble House,has Style,Style,American Craftsmen,
Precedents,Gamble House,is designed by,Architect,Greene and Greene,
Precedents,Gamble House,is built using,Materials,Wood,
Precedents,Gamble House,is designed/built in ,Year,1909,
Precedents,Gamble House,is located in,Location,United States,
Precedents,Gamble House,has Attribute,Attribute,transition space,
Precedents,Gamble House,has Attribute,Attribute,detail,
Precedents,Gamble House,has Attribute,Attribute,craftsmenship,
Precedents,Gamble House,has Attribute,Attribute,Japanese,
Precedents,Gamble House,has Attribute,Attribute,horizontal,
Precedents,Gamble House,has Attribute,Attribute,modular,
Precedents,Gamble House,has Attribute,Attribute,asymmetrical,
Precedents,Gamble House,has Principle,Principle,American Craftsmen,
Precedents,Friedman House,serves as a,Programme,Residence,
Precedents,Friedman House,relates to,Sub-Aspects,Spatial Organisation: Clustered,
Precedents,Friedman House,has Style,Style,Usonian,
Precedents,Friedman House,is designed by,Architect,Frank Lloyd Wright,
Precedents,Friedman House,is built using,Materials,Concrete,
Precedents,Friedman House,is built using,Materials,Wood,
Precedents,Friedman House,is built using,Materials,Brick,
Precedents,Friedman House,is designed/built in,Year,1948,
Precedents,Friedman House,is located in ,Location,United States,
Precedents,Friedman House,has Attribute,Attribute,contours,
Precedents,Friedman House,has Attribute,Attribute,circular,
Precedents,Friedman House,has Principle,Principle,Broadacre City,
Precedents,Freitag Tower,relates to,Sub-Aspects,Operation: Modulate,
Precedents,Freitag Tower,serves as a,Programme,Observation Deck,
Precedents,Freitag Tower,has Style,Style,Cargotecture,
Precedents,Freitag Tower,is designed by,Architect,Spillmann Echsle Architekten,
Precedents,Freitag Tower,is built using,Materials,Steel,
Precedents,Freitag Tower,has Attribute,Attribute,cargo containers,
Precedents,Freitag Tower,has Attribute,Attribute,landmark,
Precedents,Freitag Tower,has Attribute,Attribute,daylight,
Precedents,Freitag Tower,has Principle,Principle,stack,
Precedents,Freitag Tower,is designed/built in,Year,2006,
Precedents,Freitag Tower,is located in,Location,Switerland,
Precedents,Denver Airport,is built using,Materials,PTFE,
Precedents,Denver Airport,is built using,Materials,Steel,
Precedents,Denver Airport,serves as a,Programme,Airport,
Precedents,Denver Airport,has Style,Style,Parametric,
Precedents,Denver Airport,is designed/built in ,Year,1995,
Precedents,Denver Airport,is located in ,Location,United States,
Precedents,Denver Airport,is designed by,Architect,Curtis Fentress,
Precedents,Denver Airport,has Attribute,Attribute,fabric roof,
Precedents,Denver Airport,has Attribute,Attribute,canopy,
Precedents,Denver Airport,has Attribute,Attribute,clerestory window,
Precedents,Denver Airport,has Attribute,Attribute,curtain-wall,
Precedents,Denver Airport,has Attribute,Attribute,iconic,
Precedents,Chee Tong Temple,serves as a,Programme,Place of Worship,
Precedents,Chee Tong Temple,is built using,Materials,Glass,
Precedents,Chee Tong Temple,relates to,Sub-Aspects,Site: Climate,
Precedents,Chee Tong Temple,has Style,Style,Vernacular,
Precedents,Chee Tong Temple,is designed by,Architect,Tay Kheng Soon,
Precedents,Chee Tong Temple,is designed/built in,Year,1987,
Precedents,Chee Tong Temple,is located in ,Location,Singapore,
Precedents,Chee Tong Temple,has Attribute,Attribute,enclosure,
Precedents,Chee Tong Temple,has Attribute,Attribute,transitionary space,
Precedents,Chee Tong Temple,has Principle,Principle,Interpenetration,
Precedents,Capitol Complex,serves as a,Programme,Civic Building,
Precedents,Capitol Complex,has Style,Style,Modern,
Precedents,Capitol Complex,has Attribute,Attribute,edifice,
Precedents,Capitol Complex,has Attribute,Attribute,ramp,
Precedents,Capitol Complex,has Attribute,Attribute,recesses,
Precedents,Capitol Complex,has Attribute,Attribute,modular facade,
Precedents,Capitol Complex,has Attribute,Attribute,cross ventilation,
Precedents,Capitol Complex,has Attribute,Attribute,natural light,
Precedents,Capitol Complex,has Attribute,Attribute,multi-level interior spaces,
Precedents,Capitol Complex,has Attribute,Attribute,punctured,
Precedents,Capitol Complex,has Attribute,Attribute,long and narrow,
Precedents,Capitol Complex,has Attribute,Attribute,projections,
Precedents,Capitol Complex,has Attribute,Attribute,interlocking squares,
Precedents,Capitol Complex,has Principle,Principle,unify,
Precedents,Capitol Complex,has Principle,Principle,organizational efficiency,
Precedents,Capitol Complex,has Principle,Principle,anthropomorphic plan,
Precedents,Capitol Complex,is designed/built in ,Year,1962,
Precedents,Capitol Complex,is located in ,Location,India,
Precedents,Capitol Complex,relates to,Sub-Aspects,Structure: Columns,
Precedents,Capitol Complex,relates to,Sub-Aspects,Ordering Principle: Repetition,
Precedents,Capitol Complex,is built using,Materials,Concrete,
Precedents,Capitol Complex,is designed by,Architect,Le Corbusier,
Precedents,Ark Nova,serves as a,Programme,Concert Hall / Theatre,
Precedents,Ark Nova,relates to,Sub-Aspects,Operation: Inflate,
Precedents,Ark Nova,is built using,Materials,Plastic,
Precedents,Ark Nova,is designed by,Architect,Arata Isozaki,
Precedents,Ark Nova,has Style,Style,Contemporary,
Precedents,Ark Nova,has Principle,Principle,Levithan,
Precedents,Ark Nova,has Attribute,Attribute,mobile,
Precedents,Ark Nova,has Attribute,Attribute,orb,
Precedents,Ark Nova,has Attribute,Attribute,inflatable,
Precedents,Ark Nova,has Attribute,Attribute,sculptural,
Precedents,Ark Nova,has Attribute,Attribute,membrane,
Precedents,Ark Nova,has Attribute,Attribute,teamed,
Precedents,Ark Nova,is designed/built in ,Year,2013,
Precedents,Ark Nova,is located in,Location,Japan,
Precedents,Baker House,serves as a,Programme,Dormitory,
Precedents,Baker House,has Style,Style,Modern,
Precedents,Baker House,has Attribute,Attribute,single-loaded,
Precedents,Baker House,has Attribute,Attribute,parallel,
Precedents,Baker House,has Attribute,Attribute,sinuous,
Precedents,Baker House,has Attribute,Attribute,undulating,
Precedents,Baker House,has Attribute,Attribute,static,
Precedents,Baker House,has Attribute,Attribute,movement,
Precedents,Baker House,has Attribute,Attribute,modular,
Precedents,Baker House,has Principle,Principle,rectilinear,
Precedents,Baker House,is designed by,Architect,Alvar Aalto,
Precedents,Baker House,is built using,Materials,Brick,
Precedents,Baker House,relates to,Sub-Aspects,Spatial Organisation: Linear,
Precedents,Baker House,relates to,Sub-Aspects,Spatial Organisation: Orthogonal Plan,
Precedents,Baker House,is designed/built in ,Year,1948,
Precedents,Baker House,is located in,Location,United States,
Precedents,Castelvecchio Museum,serves as a,Programme,Museum,
Precedents,Castelvecchio Museum,is built using,Materials,Concrete,
Precedents,Castelvecchio Museum,is built using,Materials,Wood,
Precedents,Castelvecchio Museum,is built using,Materials,Brick,
Precedents,Castelvecchio Museum,is designed by,Architect,Carlo Scarpa,
Precedents,Castelvecchio Museum,has Style,Style,Renaissance,
Precedents,Castelvecchio Museum,relates to,Sub-Aspects,Site: Heritage,
Precedents,Castelvecchio Museum,is designed/built in ,Year,1973,
Precedents,Castelvecchio Museum,is located in ,Location,Italy,
Precedents,Castelvecchio Museum,has Principle,Principle,restoration,
Precedents,Bilbao Guggenheim Museum,serves as a,Programme,Museum,
Precedents,Bilbao Guggenheim Museum,is built using,Materials,Titanium,
Precedents,Bilbao Guggenheim Museum,is built using,Materials,Limestone,
Precedents,Bilbao Guggenheim Museum,is built using,Materials,Glass,
Precedents,Bilbao Guggenheim Museum,has Style,Style,Deconstructivism,
Precedents,Bilbao Guggenheim Museum,is designed by,Architect,Frank Gehry,
Precedents,Bilbao Guggenheim Museum,relates to,Sub-Aspects,Operation: Crumple,
Precedents,Bilbao Guggenheim Museum,relates to,Sub-Aspects,Spatial Organisation: Orthogonal Plan,
Precedents,Bilbao Guggenheim Museum,relates to,Sub-Aspects,Spatial Organisation: Grid,
Precedents,Bilbao Guggenheim Museum,relates to,Sub-Aspects,Circulation: Ramp,
Precedents,Bilbao Guggenheim Museum,is designed/built in ,Year,1997,
Precedents,Bilbao Guggenheim Museum,is located in,Location,Spain,
Precedents,Bilbao Guggenheim Museum,has Attribute,Attribute,atrium,
Precedents,Bilbao Guggenheim Museum,has Attribute,Attribute,metallic,
Precedents,Bilbao Guggenheim Museum,has Attribute,Attribute,curves,
Precedents,Bilbao Guggenheim Museum,has Attribute,Attribute,transfomation,
Precedents,Bilbao Guggenheim Museum,has Attribute,Attribute,"""Bilbao Effect""",
Precedents,Bilbao Guggenheim Museum,has Principle,Principle,industrial,
Precedents,Bilbao Guggenheim Museum,has Principle,Principle,mathematical,
Precedents,Chapel on Mt. Rokko,serves as a,Programme,Place of Worship,
Precedents,Chapel on Mt. Rokko,has Style,Style,Contemporary,
Precedents,Chapel on Mt. Rokko,is designed by,Architect,Tadao Ando,
Precedents,Chapel on Mt. Rokko,relates to,Sub-Aspects,Circulation: Linear,
Precedents,Chapel on Mt. Rokko,is built using,Materials,Concrete,
Precedents,Chapel on Mt. Rokko,is designed/built in ,Year,1986,
Precedents,Chapel on Mt. Rokko,is located in ,Location,Japan,
Precedents,Chapel on Mt. Rokko,has Attribute,Attribute,natural light,
Precedents,Chapel on Mt. Rokko,has Attribute,Attribute,light and shadow,
Precedents,Chapel on Mt. Rokko,has Attribute,Attribute,porch,
Precedents,Chapel on Mt. Rokko,has Attribute,Attribute,vertical counterpoint,
Precedents,Chapel on Mt. Rokko,has Attribute,Attribute,simple geometry,
Precedents,Chapel on Mt. Rokko,has Principle,Principle,spatial sequence,
Precedents,Säynätsalo Town Hall,serves as a,Programme,Civic Building,
Precedents,Säynätsalo Town Hall,is built using,Materials,Brick,
Precedents,Säynätsalo Town Hall,is built using,Materials,Wood,
Precedents,Säynätsalo Town Hall,is designed by,Architect,Alvar Aalto,
Precedents,Säynätsalo Town Hall,relates to,Sub-Aspects,Ordering Principle: Hierachy,
Precedents,Säynätsalo Town Hall,has Style,Style,Modern,
Precedents,Säynätsalo Town Hall,has Style,Style,Classic,
Precedents,Säynätsalo Town Hall,is designed/built in,Year,1949,
Precedents,Säynätsalo Town Hall,is located in,Location,Finland,
Precedents,Säynätsalo Town Hall,has Attribute,Attribute,courtyard,
Precedents,Säynätsalo Town Hall,has Attribute,Attribute,open circulatory space,
Precedents,Säynätsalo Town Hall,has Attribute,Attribute,public plaza,
Precedents,Säynätsalo Town Hall,has Attribute,Attribute,clerestory windows,
Precedents,Säynätsalo Town Hall,has Attribute,Attribute,monumental,
Precedents,Säynätsalo Town Hall,has Principle,Principle,study in opposition,
Precedents,Säynätsalo Town Hall,has Principle,Principle,contrast,
Precedents,Darwin D. Martin House and Estate,serves as a,Programme,Residence,
Precedents,Darwin D. Martin House and Estate,is designed by,Architect,Frank Lloyd Wright,
Precedents,Darwin D. Martin House and Estate,has Style,Style,Priairie,
Precedents,Darwin D. Martin House and Estate,is built using,Materials,Brick,
Precedents,Darwin D. Martin House and Estate,is built using,Materials,Wood,
Precedents,Darwin D. Martin House and Estate,relates to,Sub-Aspects,Ordering Principle: Axis,
Precedents,Darwin D. Martin House and Estate,is designed/built in ,Year,1905,
Precedents,Darwin D. Martin House and Estate,is located in ,Location,United States,
Precedents,Darwin D. Martin House and Estate,has Attribute,Attribute,art glass,
Precedents,Darwin D. Martin House and Estate,has Attribute,Attribute,composition,
Precedents,Biomuseo,serves as a,Programme,Museum,
Precedents,Biomuseo,is built using,Materials,Steel,
Precedents,Biomuseo,is built using,Materials,Concrete,
Precedents,Biomuseo,is designed by,Architect,Frank Gehry,
Precedents,Biomuseo,has Style,Style,Contemporary,
Precedents,Biomuseo,relates to,Sub-Aspects,Operation: Fold,
Precedents,Biomuseo,is designed/built in ,Year,2014,
Precedents,Biomuseo,is located in,Location,Panama,
Precedents,Biomuseo,has Attribute,Attribute,atrium,
Precedents,Biomuseo,has Attribute,Attribute,canopy,
Precedents,Falling Water,serves as a,Programme,Residence,
Precedents,Falling Water,has Style,Style,Modern,
Precedents,Falling Water,relates to,Sub-Aspects,Site: Topography,
Precedents,Falling Water,has Attribute,Attribute,sculptural,
Precedents,Falling Water,has Attribute,Attribute,waterfall,
Precedents,Falling Water,has Attribute,Attribute,narrow passageways,
Precedents,Falling Water,has Attribute,Attribute,cantilevered terraces,
Precedents,Falling Water,has Attribute,Attribute,corner window detail,
Precedents,Falling Water,has Attribute,Attribute,nature,
Precedents,Falling Water,has Principle,Principle,integration,
Precedents,Falling Water,has Principle,Principle,compression and expansion,
Precedents,Falling Water,has Principle,Principle,harmony,
Precedents,Falling Water,is designed/built in,Year,1939,
Precedents,Falling Water,is located in ,Location,United States,
Precedents,Falling Water,is built using,Materials,Concrete,
Precedents,Falling Water,is built using,Materials,Brick,
Precedents,Falling Water,is designed by,Architect,Frank Lloyd Wright,
Precedents,Investcorp Building,is designed by,Architect,Zaha Hadid Architects,
Precedents,Investcorp Building,is designed/built in,Year,2015,
Precedents,Investcorp Building,is located in,Location,England,
Precedents,Investcorp Building,has Style,Style,Deconstructivism,
Precedents,Investcorp Building,serves as a ,Programme,Education Facility,
Precedents,Investcorp Building,serves as a ,Programme,Library,
Precedents,Investcorp Building,is built using,Material,Steel,
Precedents,Investcorp Building,has Attribute,Attribute,expansion,
Precedents,Investcorp Building,has Attribute,Attribute,site response,
Precedents,Investcorp Building,has Principle,Principle,connectivity,
Precedents,Investcorp Building,relates to,Sub-Aspects,Structure: Steel Frame,
Precedents,Jewel Changi Airport,is designed by,Architect,Safdie Architects,
Precedents,Jewel Changi Airport,is designed/built in,Year,2019,
Precedents,Jewel Changi Airport,is located in,Location,Singapore,
Precedents,Jewel Changi Airport,has Style,Style,Neo-futurism,
Precedents,Jewel Changi Airport,serves as a ,Programme,Airport,
Precedents,Jewel Changi Airport,serves as a ,Programme,Retail,
Precedents,Jewel Changi Airport,is built using,Material,Glass,
Precedents,Jewel Changi Airport,has Attribute,Attribute,marketplace,
Precedents,Jewel Changi Airport,has Attribute,Attribute,pedestrian bridges,
Precedents,Jewel Changi Airport,has Attribute,Attribute,visual connections,
Precedents,Jewel Changi Airport,has Attribute,Attribute,terraced indoor garden,
Precedents,Jewel Changi Airport,has Attribute,Attribute,spatial and interactive experiences,
Precedents,Jewel Changi Airport,has Attribute,Attribute,indoor waterfall,
Precedents,Jewel Changi Airport,has Attribute,Attribute,oculus,
Precedents,Jewel Changi Airport,has Attribute,Attribute,domed roof,
Precedents,Jewel Changi Airport,has Attribute,Attribute,vertical canyons,
Precedents,Jewel Changi Airport,has Attribute,Attribute,column-free spaces,
Precedents,Jewel Changi Airport,has Attribute,Attribute,glazing,
Precedents,Jewel Changi Airport,has Attribute,Attribute,suspended catenary glass-bottom bridge walk,
Precedents,Jewel Changi Airport,has Attribute,Attribute,"event plaza
",
Precedents,Jewel Changi Airport,has Attribute,Attribute,connector,
Precedents,Jewel Changi Airport,has Attribute,Attribute,leisure,
Precedents,Jewel Changi Airport,has Attribute,Attribute,nature,
Precedents,Jewel Changi Airport,has Attribute,Attribute,Displacement Ventilation System,
Precedents,Jewel Changi Airport,has Principle,Principle,cardinal axes,
Precedents,Jewel Changi Airport,has Principle,Principle,evaporative cooling,
Precedents,Jewel Changi Airport,has Principle,Principle,static shading,
Precedents,Jewel Changi Airport,has Principle,Principle,dynamic shading,
Precedents,Jewel Changi Airport,relates to,Sub-Aspects,Structure: Grid-shell,
Precedents,Katsura Imperial Villa,is designed by,Architect,Edward Suzuki Associates,
Precedents,Katsura Imperial Villa,is designed/built in,Year,2010,
Precedents,Katsura Imperial Villa,is located in,Location,Japan,
Precedents,Katsura Imperial Villa,has Style,Style,"Zen buddhist, Shoin-zukuri",
Precedents,Katsura Imperial Villa,serves as a ,Programme,Residence,
Precedents,Katsura Imperial Villa,is built using,Material,Wood,
Precedents,Katsura Imperial Villa,is built using,Material,Glass,
Precedents,Katsura Imperial Villa,is built using,Material,Steel,
Precedents,Katsura Imperial Villa,has Attribute,Attribute,garden,
Precedents,Katsura Imperial Villa,has Attribute,Attribute,tea house,
Precedents,Katsura Imperial Villa,has Attribute,Attribute,raised floors,
Precedents,Katsura Imperial Villa,has Attribute,Attribute,cultural treasure,
Precedents,Katsura Imperial Villa,has Principle,Principle,zen buddism,
Precedents,Katsura Imperial Villa,relates to,Sub-Aspects,Ordering Principle: Repetition,
Precedents,Kaufmann House,is designed by,Architect,Richard Neutra,
Precedents,Kaufmann House,is designed/built in,Year,1947,
Precedents,Kaufmann House,is located in,Location,United States,
Precedents,Kaufmann House,has Style,Style,Modern,
Precedents,Kaufmann House,serves as a ,Programme,International,
Precedents,Kaufmann House,is built using,Material,Wood,
Precedents,Kaufmann House,is built using,Material,Stone,
Precedents,Kaufmann House,is built using,Material,Concrete,
Precedents,Kaufmann House,is built using,Material,Glass,
Precedents,Kaufmann House,is built using,Material,Steel,
Precedents,Kaufmann House,has Attribute,Attribute,swimming pool,
Precedents,Kaufmann House,has Attribute,Attribute,pinwheel,
Precedents,Kaufmann House,has Attribute,Attribute,20th Century,
Precedents,Kaufmann House,has Attribute,Attribute,family,
Precedents,Kaufmann House,has Principle,Principle,cardinal axes,
Precedents,Kaufmann House,has Principle,Principle,balance,
Precedents,Kaufmann House,relates to,Sub-Aspects,Site: Topography,
Precedents,Kaufmann House,relates to,Sub-Aspects,Spatial Organisations: Radial,
Precedents,Koshino House,is designed by,Architect,Tadao Ando Architect & Associates,
Precedents,Koshino House,is designed/built in,Year,1984,
Precedents,Koshino House,is located in,Location,Japan,
Precedents,Koshino House,has Style,Style,Contemporary,
Precedents,Koshino House,serves as a ,Programme,Residence,
Precedents,Koshino House,is built using,Material,Concrete,
Precedents,Koshino House,has Attribute,Attribute,park,
Precedents,Koshino House,has Attribute,Attribute,light and shadow,
Precedents,Koshino House,has Attribute,Attribute,concrete,
Precedents,Koshino House,has Attribute,Attribute,landscape,
Precedents,Koshino House,has Attribute,Attribute,ecosystem,
Precedents,Koshino House,has Attribute,Attribute,light,
Precedents,Koshino House,has Attribute,Attribute,light ornament,
Precedents,Koshino House,has Principle,Principle,parallel,
Precedents,Koshino House,has Principle,Principle,addition,
Precedents,Koshino House,relates to,Sub-Aspects,Ordering Principle: Datum,
Precedents,Palace of Assembly (Legislative Assembly Building),is designed by,Architect,Le Corbusier,
Precedents,Palace of Assembly (Legislative Assembly Building),is designed/built in,Year,1962,
Precedents,Palace of Assembly (Legislative Assembly Building),is located in,Location,India,
Precedents,Palace of Assembly (Legislative Assembly Building),has Style,Style,Modern,
Precedents,Palace of Assembly (Legislative Assembly Building),serves as a ,Programme,Civic Building,
Precedents,Palace of Assembly (Legislative Assembly Building),is built using,Material,Concrete,
Precedents,Palace of Assembly (Legislative Assembly Building),has Attribute,Attribute,open-plan,
Precedents,Palace of Assembly (Legislative Assembly Building),has Attribute,Attribute,free facade,
